Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start DateAscending,Match
57,105,72,2,1,79.16,5,bowled,1,v West Indies,Kingston,16 Jun 2011,ODI # 3163
0,1,1,0,0,0.00,5,retired notout,1,v England,Chester-le-Street,3 Sep 2011,ODI # 3186
72,185,99,3,1,72.72,5,bowled,2,v West Indies,Cuttack,29 Nov 2011,ODI # 3217
90,131,98,7,2,91.83,5,not out,2,v West Indies,Visakhapatnam,2 Dec 2011,ODI # 3219
95,151,100,10,1,95.00,5,run out,2,v West Indies,Ahmedabad,5 Dec 2011,ODI # 3221
27,21,16,3,0,168.75,5,bowled,1,v West Indies,Indore,8 Dec 2011,ODI # 3223
21,31,26,1,0,80.76,6,bowled,1,v West Indies,Chennai,11 Dec 2011,ODI # 3224
21,34,21,2,0,100.00,4,caught,2,v Australia,Melbourne,5 Feb 2012,ODI # 3231
10,29,17,1,0,58.82,4,caught,2,v Sri Lanka,Perth,8 Feb 2012,ODI # 3233
33,49,41,1,1,80.48,4,caught,2,v Australia,Adelaide,12 Feb 2012,ODI # 3237
15,30,27,2,0,55.55,4,run out,2,v Sri Lanka,Adelaide,14 Feb 2012,ODI # 3239
0,6,5,0,0,0.00,4,caught,2,v Australia,Brisbane,19 Feb 2012,ODI # 3244
DNB,-,-,-,-,-,-,-,1,v Sri Lanka,Dhaka,13 Mar 2012,ODI # 3259
4,9,6,0,0,66.66,6,run out,1,v Bangladesh,Dhaka,16 Mar 2012,ODI # 3261
68,109,83,5,1,81.92,4,caught,2,v Pakistan,Dhaka,18 Mar 2012,ODI # 3263
5,10,8,0,0,62.50,4,bowled,1,v Sri Lanka,Hambantota,21 Jul 2012,ODI # 3291
0,5,5,0,0,0.00,4,bowled,1,v Sri Lanka,Hambantota,24 Jul 2012,ODI # 3292
0,1,1,0,0,0.00,5,lbw,2,v Sri Lanka,Colombo (RPS),28 Jul 2012,ODI # 3293
4,18,14,0,0,28.57,4,lbw,2,v Sri Lanka,Colombo (RPS),31 Jul 2012,ODI # 3294
4,12,9,1,0,44.44,4,bowled,1,v Sri Lanka,Pallekele,4 Aug 2012,ODI # 3295
4,19,14,0,0,28.57,5,caught,1,v Pakistan,Chennai,30 Dec 2012,ODI # 3314
83,135,93,11,1,89.24,2,lbw,2,v England,Mohali,23 Jan 2013,ODI # 3327
4,15,9,1,0,44.44,2,caught,1,v England,Dharamsala,27 Jan 2013,ODI # 3329
65,96,81,8,1,80.24,1,caught,1,v South Africa,Cardiff,6 Jun 2013,ODI # 3363
52,78,56,7,0,92.85,1,caught,2,v West Indies,The Oval,11 Jun 2013,ODI # 3368
18,54,32,2,0,56.25,1,caught,2,v Pakistan,Birmingham,15 Jun 2013,ODI # 3372
33,77,50,4,0,66.00,1,bowled,2,v Sri Lanka,Cardiff,20 Jun 2013,ODI # 3376
9,18,14,1,0,64.28,1,bowled,1,v England,Birmingham,23 Jun 2013,ODI # 3377
60,129,89,4,1,67.41,1,caught,1,v West Indies,Kingston,30 Jun 2013,ODI # 3380
5,16,13,0,0,38.46,1,caught,2,v Sri Lanka,Kingston,2 Jul 2013,ODI # 3382
46,124,78,5,0,58.97,1,caught,1,v West Indies,Port of Spain,5 Jul 2013,ODI # 3383
48,126,83,2,1,57.83,1,not out,1,v Sri Lanka,Port of Spain,9 Jul 2013,ODI # 3387
58,146,89,5,1,65.16,1,bowled,2,v Sri Lanka,Port of Spain,11 Jul 2013,ODI # 3388
20,57,40,2,0,50.00,1,caught,2,v Zimbabwe,Harare,24 Jul 2013,ODI # 3395
1,5,7,0,0,14.28,1,caught,1,v Zimbabwe,Harare,26 Jul 2013,ODI # 3397
14,27,21,2,0,66.66,1,caught,2,v Zimbabwe,Harare,28 Jul 2013,ODI # 3399
64,123,90,5,1,71.11,2,not out,2,v Zimbabwe,Bulawayo,1 Aug 2013,ODI # 3402
42,62,47,6,0,89.36,2,caught,2,v Australia,Pune,13 Oct 2013,ODI # 3419
141,195,123,17,4,114.63,1,not out,2,v Australia,Jaipur,16 Oct 2013,ODI # 3420
11,33,22,2,0,50.00,1,caught,1,v Australia,Mohali,19 Oct 2013,ODI # 3421
9,19,13,1,0,69.23,1,not out,2,v Australia,Ranchi,23 Oct 2013,ODI # 3422
79,119,89,7,3,88.76,1,caught,2,v Australia,Nagpur,30 Oct 2013,ODI # 3424
209,222,158,12,16,132.27,1,caught,1,v Australia,Bangalore,2 Nov 2013,ODI # 3428
72,105,81,8,1,88.88,1,caught,2,v West Indies,Kochi,21 Nov 2013,ODI # 3436
12,20,19,3,0,63.15,1,caught,1,v West Indies,Visakhapatnam,24 Nov 2013,ODI # 3437
4,19,14,0,0,28.57,1,caught,2,v West Indies,Kanpur,27 Nov 2013,ODI # 3439
18,69,43,2,0,41.86,1,run out,2,v South Africa,Johannesburg,5 Dec 2013,ODI # 3442
19,34,26,2,0,73.07,1,caught,2,v South Africa,Durban,8 Dec 2013,ODI # 3443
DNB,-,-,-,-,-,-,-,-,v South Africa,Centurion,11 Dec 2013,ODI # 3444
3,24,23,0,0,13.04,1,caught,2,v New Zealand,Napier,19 Jan 2014,ODI # 3456
20,42,34,2,1,58.82,2,caught,2,v New Zealand,Hamilton,22 Jan 2014,ODI # 3458
39,65,38,1,4,102.63,1,caught,2,v New Zealand,Auckland,25 Jan 2014,ODI # 3462
79,131,94,6,4,84.04,1,caught,1,v New Zealand,Hamilton,28 Jan 2014,ODI # 3465
4,20,13,0,0,30.76,1,caught,2,v New Zealand,Wellington,31 Jan 2014,ODI # 3467
21,57,29,1,1,72.41,1,bowled,2,v Bangladesh,Fatullah,26 Feb 2014,ODI # 3474
13,37,28,1,0,46.42,1,lbw,1,v Sri Lanka,Fatullah,28 Feb 2014,ODI # 3476
56,86,58,7,2,96.55,1,caught,1,v Pakistan,Dhaka,2 Mar 2014,ODI # 3479
18,36,24,1,0,75.00,3,not out,2,v Afghanistan,Dhaka,5 Mar 2014,ODI # 3483
52,126,87,4,1,59.77,1,caught,1,v England,Cardiff,27 Aug 2014,ODI # 3517
264,225,173,33,9,152.60,2,caught,1,v Sri Lanka,Kolkata,13 Nov 2014,ODI # 3544
9,18,12,2,0,75.00,2,bowled,2,v Sri Lanka,Ranchi,16 Nov 2014,ODI # 3547
138,228,139,9,4,99.28,1,caught,1,v Australia,Melbourne,18 Jan 2015,ODI # 3582
15,35,20,2,0,75.00,1,caught,1,v Pakistan,Adelaide,15 Feb 2015,ODI # 3602
0,13,6,0,0,0.00,1,run out,1,v South Africa,Melbourne,22 Feb 2015,ODI # 3610
57,77,55,10,1,103.63,1,not out,2,v U.A.E.,Perth,28 Feb 2015,ODI # 3618
7,30,18,1,0,38.88,1,caught,2,v West Indies,Perth,6 Mar 2015,ODI # 3625
64,99,66,3,3,96.96,1,bowled,2,v Ireland,Hamilton,10 Mar 2015,ODI # 3631
16,24,21,2,0,76.19,1,caught,2,v Zimbabwe,Auckland,14 Mar 2015,ODI # 3636
137,223,126,14,3,108.73,1,bowled,1,v Bangladesh,Melbourne,19 Mar 2015,ODI # 3641
34,83,48,1,2,70.83,1,bowled,2,v Australia,Sydney,26 Mar 2015,ODI # 3645
63,100,68,4,1,92.64,1,caught,2,v Bangladesh,Dhaka,18 Jun 2015,ODI # 3658
0,1,2,0,0,0.00,1,caught,1,v Bangladesh,Dhaka,21 Jun 2015,ODI # 3660
29,34,29,2,1,100.00,1,caught,1,v Bangladesh,Dhaka,24 Jun 2015,ODI # 3661
150,215,133,13,6,112.78,1,caught,2,v South Africa,Kanpur,11 Oct 2015,ODI # 3689
3,6,10,0,0,30.00,1,bowled,1,v South Africa,Indore,14 Oct 2015,ODI # 3692
65,95,74,7,2,87.83,1,caught,2,v South Africa,Rajkot,18 Oct 2015,ODI # 3695
21,21,19,4,0,110.52,1,caught,1,v South Africa,Chennai,22 Oct 2015,ODI # 3698
16,21,20,3,0,80.00,1,caught,2,v South Africa,Mumbai,25 Oct 2015,ODI # 3700
171,205,163,13,7,104.90,1,not out,1,v Australia,Perth,12 Jan 2016,ODI # 3723
124,175,127,11,3,97.63,1,run out,1,v Australia,Brisbane,15 Jan 2016,ODI # 3724
6,17,11,0,0,54.54,1,caught,1,v Australia,Melbourne,17 Jan 2016,ODI # 3725
41,28,25,2,3,164.00,1,caught,2,v Australia,Canberra,20 Jan 2016,ODI # 3726
99,142,108,9,1,91.66,1,caught,2,v Australia,Sydney,23 Jan 2016,ODI # 3727
14,44,26,1,1,53.84,1,lbw,2,v New Zealand,Dharamsala,16 Oct 2016,ODI # 3796
15,28,27,1,1,55.55,1,caught,2,v New Zealand,Delhi,20 Oct 2016,ODI # 3797
13,35,21,2,0,61.90,1,lbw,2,v New Zealand,Mohali,23 Oct 2016,ODI # 3798
11,15,19,2,0,57.89,2,caught,2,v New Zealand,Ranchi,26 Oct 2016,ODI # 3799
70,107,65,5,3,107.69,2,caught,1,v New Zealand,Visakhapatnam,29 Oct 2016,ODI # 3800
